,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,RDCD3,RSID3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2008-06-30,34.63,16.6,11.61,12.128944396972656,6.254,16.821096420288086,11.178951263427734,23.33,6.667511463165283,4.475549697875977,3.249569892883301,15.828,1.452,4.219356536865234,7.775300979614258,14.155200004577637,32.47,12.917160034179688,10.937,9.149782180786133,611.6671752929688,17.62331199645996,31.455322265625,17.204875946044922,2.500723123550415,8.233771324157715,6.253441333770752,2.113,3.8895726203918457,5.61,20.3,40.13,55.63,25.540128707885746,18.888383865356445,30.989999771118164,269.1989440917969,11.36,18.75340843200684,6.22,27.88,43.11,32.48,26.18,4.23,19.71,29.55187225341797,29.648120880126957,28.20407485961914,31.17,20.29
2008-07-01,34.48,16.06,11.38,11.48897933959961,6.07,16.249263763427734,10.53771686553955,22.8,6.333089828491211,4.397873401641846,3.235365629196167,15.735,1.43,4.2939958572387695,7.507555484771728,13.937824249267578,30.99,12.328033447265623,10.563,8.986854553222656,577.169677734375,17.62331199645996,31.93923759460449,15.94715404510498,2.4392497539520264,8.115057945251465,6.006391525268555,2.039,3.7553653717041016,5.68,19.27,39.01,55.45,25.472261428833008,18.839344024658203,29.5,252.3740081787109,11.03,17.924352645874023,5.86,25.81,42.12,31.45,24.54,3.94,19.33,28.653987884521484,28.29706573486328,27.02972221374512,30.1,19.98
2008-07-02,34.41,15.9,11.38,11.056236267089844,6.083,15.378087997436523,10.259836196899414,22.32,6.118852615356445,4.2608819007873535,3.1843810081481934,14.898,1.399,4.447843074798584,7.36832857131958,13.10027313232422,30.1,12.000741004943848,10.299,8.532364845275879,546.3209228515625,17.62331199645996,29.76158332824707,15.428702354431152,2.412201166152954,8.094858169555664,6.253441333770752,1.986,3.527211904525757,5.45,18.66,38.07,55.45,24.43165779113769,17.976877212524414,29.01000022888184,241.15737915039065,10.74,16.581077575683594,5.72,24.83,42.19,30.48,24.44,3.85,18.9,26.936315536499023,26.98354148864746,25.644088745117188,28.38,18.93
2008-07-03,33.31,15.51,11.24,11.031858444213867,5.912,14.775547981262209,10.097394943237305,21.25,5.836685657501221,4.208625793457031,3.0640268325805664,14.517,1.385,4.396051406860352,7.36832857131958,12.659123420715332,29.12,11.786908149719238,9.984,8.232234001159668,517.46240234375,17.62331199645996,27.82585906982422,14.113374710083008,2.348269462585449,7.80692720413208,6.2920427322387695,1.961,3.452788114547729,5.31,18.15,36.44,54.08,23.458913803100582,17.392362594604492,28.0,231.0624237060547,10.5,15.736275672912598,5.56,23.35,42.3,29.57,23.39,3.69,18.72,25.37478828430176,25.594959259033203,25.03480339050293,27.93,17.97
2008-07-04,32.81,15.04,11.03,11.15375518798828,5.912,14.890682220458984,10.174341201782228,21.72,5.85236120223999,4.236871719360352,3.0932822227478027,14.728,1.361,4.402144432067871,7.496847629547119,12.72305965423584,30.17,11.695266723632812,9.916,8.266538619995117,521.1112670898438,17.62331199645996,26.70678329467773,13.239688873291016,2.340892553329468,7.900374889373779,6.145357131958008,1.945,3.379584550857544,5.24,18.24,36.35,53.99,23.798242568969727,17.658058166503906,,226.5757751464844,10.18,15.717914581298828,5.5,22.63,41.89,29.13,22.78,3.71,18.89,24.843868255615234,25.144607543945312,25.30504608154297,28.25,18.26
2008-07-07,32.01,15.34,10.83,11.616972923278809,5.96,14.890682220458984,9.86227035522461,21.64,5.993444919586182,4.067397117614746,3.0932822227478027,14.635,1.343,4.537712574005127,7.411168575286865,12.563220024108888,28.64,11.642898559570312,9.856,8.66099739074707,505.8527526855469,17.62331199645996,27.317747116088867,13.162881851196287,2.335974931716919,7.857439517974853,5.906027317047119,1.933,3.367383480072021,5.16,18.24,35.37,54.42,23.19198226928711,17.13893699645996,27.8700008392334,229.71641540527344,10.39,16.24787712097168,5.41,22.29,41.01,28.44,22.99,3.72,18.67,26.17897224426269,25.144607543945312,25.33452796936035,28.35,19.13
2008-07-08,32.96,15.75,11.1,12.189897537231444,6.165,14.526093482971191,10.366713523864746,21.91,6.134528636932373,4.065985202789307,3.128378868103028,14.754,1.375,4.584932804107666,7.601804733276367,12.524860382080078,28.9,11.891639709472656,10.112,9.56996726989746,530.730712890625,17.62331199645996,27.52341651916504,13.614126205444336,2.348269462585449,7.978676795959473,6.099034309387207,1.986,3.440587043762207,5.3,18.8,36.83,55.45,22.499744415283203,16.59939193725586,28.520000457763672,244.2980194091797,10.65,16.213769912719727,5.44,23.64,42.14,28.33,22.99,3.79,19.38,26.39758682250977,26.14288902282715,25.05937957763672,28.47,20.64
2008-07-10,33.48,15.47,11.14,11.48897933959961,6.11,14.526093482971191,10.345335960388184,22.87,6.578681468963623,4.051862239837647,3.128378868103028,15.16,1.43,4.72050142288208,7.839559555053711,12.441742897033691,30.06,12.60732364654541,10.673,9.347015380859377,534.0477294921875,17.62331199645996,29.00544166564941,14.046168327331545,2.335974931716919,8.00393009185791,6.423285961151123,2.093,3.4161858558654785,5.54,19.77,39.27,57.92,22.183040618896484,16.3704891204834,27.989999771118164,242.95204162597656,11.0,16.528600692749023,5.67,25.61,41.91,28.43,24.35,3.93,19.27,27.599958419799805,26.14288902282715,25.05937957763672,28.17,20.37
2008-07-11,33.27,15.48,11.03,11.15375518798828,6.042,14.334206581115724,10.174341201782228,22.43,6.688412666320801,4.116827487945557,3.2804973125457764,15.143,1.436,4.973358154296875,7.775300979614258,12.10288906097412,29.25,12.808062553405762,10.912,9.295560836791992,510.8282470703125,17.62331199645996,28.672739028930664,13.076473236083984,2.3064684867858887,7.880176067352295,6.670337200164795,2.093,3.477189779281616,5.55,19.48,40.12,56.59,22.377588272094727,16.595294952392578,26.649999618530277,244.2980194091797,10.74,16.630922317504883,5.76,24.59,41.08,28.07,24.23,3.92,18.87,27.40477180480957,27.730375289916992,24.65154457092285,28.08,20.25
2008-07-14,30.8,16.22,10.93,10.727112770080566,5.96,14.334206581115724,10.323962211608888,22.04,6.641385078430176,4.032090663909912,3.2804973125457764,15.439,1.464,5.049518585205078,7.978786468505859,12.058135032653809,28.75,12.95643424987793,10.929,9.1326322555542,509.8332214355469,17.62331199645996,29.13851547241211,12.45241355895996,2.3113856315612797,7.867543697357178,6.755260944366455,2.158,3.6235971450805664,5.77,19.89,41.17,58.49,22.440933227539062,16.70975112915039,26.270000457763672,255.29031372070312,11.1,16.73324203491211,5.94,25.19,40.82,28.42,24.47,3.9,18.51,27.478944778442383,27.730375289916992,25.05937957763672,28.71,20.77
2008-07-15,31.03,16.16,10.83,10.909957885742188,5.885,14.334206581115724,10.430835723876951,22.72,6.8242716789245605,4.180379867553711,3.2804973125457764,15.583,1.491,5.020577430725098,8.246532440185547,13.106671333312988,29.82,13.606656074523926,11.499,9.347015380859377,533.3843994140625,17.62331199645996,29.03568649291992,12.913257598876951,2.286796808242798,7.675595760345459,6.716659069061279,2.216,3.7199840545654297,6.2,20.64,42.94,59.22,22.0744571685791,16.574859619140625,27.299999237060547,271.4422912597656,11.38,16.55746078491211,6.18,26.36,40.4,27.8,24.44,4.05,18.23,27.365732192993164,27.730375289916992,24.52378273010254,28.41,21.3
2008-07-16,32.11,16.22,11.43,10.940434455871582,6.315,14.679604530334473,10.841229438781738,24.4,7.0541863441467285,4.181793212890625,3.44849181175232,15.287,1.513,4.843882083892822,8.441450119018555,14.372581481933594,31.57,13.615384101867676,11.576,10.28171443939209,584.7988891601562,17.62331199645996,29.09618186950684,14.20938491821289,2.508099317550659,8.38531494140625,7.025471210479736,2.302,3.877373218536377,6.32,20.74,42.35,60.71,21.730600357055664,16.25602912902832,27.31999969482422,290.9591979980469,11.83,16.75160789489746,6.32,28.71,43.03,27.87,24.88,4.18,19.63,27.44771194458008,28.18447494506836,24.174924850463867,27.85,21.64
2008-07-17,30.96,16.21,11.29,10.84900951385498,6.343,14.180689811706545,10.52061367034912,24.56,7.012382507324219,4.187441825866699,3.384974956512451,14.491,1.464,4.645862102508545,7.8823981285095215,13.66929817199707,29.42,13.021894454956056,11.082,9.973007202148438,563.9013671875,17.62331199645996,27.56575584411621,14.401403427124023,2.495805501937866,8.476240158081055,7.025471210479736,2.236,3.756585121154785,6.23,20.62,41.19,60.65,20.812150955200195,15.45079231262207,27.399999618530277,274.35858154296875,11.72,15.741525650024414,6.18,29.25,42.59,28.07,24.39,4.12,19.64,26.54593086242676,26.942256927490234,22.867904663085938,26.34,20.57
2008-07-18,30.93,15.71,10.98,10.58692741394043,6.568,13.739341735839844,10.66596221923828,24.4,6.913101673126221,4.200152397155762,3.427597999572754,14.356,1.469,4.645862102508545,7.903819561004639,13.106671333312988,28.45,13.06989574432373,10.997,9.690022468566896,541.6770629882812,17.62331199645996,27.11811828613281,14.132576942443848,2.5376055240631104,8.736382484436035,6.755260944366455,2.282,3.6235971450805664,6.27,20.49,40.44,59.36,20.816675186157227,15.614296913146973,27.450000762939453,255.73899841308597,11.77,15.715289115905762,5.9,28.56,40.86,27.92,23.62,4.0,20.24,26.45223999023437,26.63827133178711,22.60748291015625,26.27,20.46
2008-07-21,30.75,15.57,11.01,10.36141300201416,6.507,13.969609260559082,10.695886611938477,24.49,7.148240089416504,4.243933200836182,3.4409656524658203,14.238,1.521,4.645862102508545,8.030195236206055,13.535032272338867,28.18,13.165903091430664,11.337,9.801502227783203,552.9550170898438,17.62331199645996,28.872352600097656,13.92135524749756,2.508099317550659,8.539377212524414,6.762980937957764,2.273,3.635798215866089,6.32,19.4,41.68,60.1,21.278169631958008,15.843191146850586,27.100000381469727,251.2523498535156,11.77,16.51548957824707,6.18,28.82,40.63,27.66,23.71,4.07,20.36,27.09246635437012,27.471418380737305,23.43788146972656,27.07,20.11
